date,open,high,low,close,pct_change,volume
2024-06-03,3085.98,3097.2,3061.28,3078.49,-0.27%,357563360.0
2024-06-04,3071.32,3095.32,3063.59,3091.2,0.41%,309287584.0
2024-06-05,3086.05,3092.35,3064.74,3065.4,-0.83%,290542336.0
2024-06-06,3069.44,3077.67,3040.83,3048.79,-0.54%,369867136.0
2024-06-07,3053.92,3065.02,3031.04,3051.28,0.08%,316342464.0
2024-06-11,3042.13,3043.2,3013.86,3028.05,-0.76%,310481952.0
2024-06-12,3025.3,3042.04,3021.31,3037.47,0.31%,279452096.0
2024-06-13,3038.09,3040.4,3022.82,3028.92,-0.28%,297862464.0
2024-06-14,3020.96,3037.9,3011.58,3032.63,0.12%,348746752.0
2024-06-17,3017.72,3026.62,3012.05,3015.89,-0.55%,295763456.0
2024-06-18,3015.07,3031.98,3012.52,3030.25,0.48%,273625984.0
2024-06-19,3029.1,3030.23,3015.33,3018.05,-0.40%,261296256.0
2024-06-20,3015.72,3028.51,3001.77,3005.44,-0.42%,295515904.0
2024-06-21,2998.24,3011.91,2985.93,2998.14,-0.24%,255001248.0
2024-06-24,2982.83,2990.64,2960.13,2963.1,-1.17%,298653888.0
2024-06-25,2962.77,2971.65,2935.54,2950.0,-0.44%,273209952.0
2024-06-26,2943.45,2976.67,2933.33,2972.53,0.76%,282388416.0
2024-06-27,2962.7,2963.06,2944.9,2945.85,-0.90%,270548512.0
2024-06-28,2940.3,2985.47,2939.98,2967.4,0.73%,315201440.0
2024-07-01,2965.25,2996.41,2961.86,2994.73,0.92%,297782240.0
2024-07-02,2992.86,3004.99,2989.47,2997.01,0.08%,281364672.0
2024-07-03,2995.66,2998.54,2978.07,2982.38,-0.49%,246284640.0
2024-07-04,2984.83,2995.57,2955.29,2957.57,-0.83%,274268800.0
2024-07-05,2954.37,2957.11,2920.2,2949.93,-0.26%,272324544.0
2024-07-08,2939.84,2947.61,2917.23,2922.45,-0.93%,277533440.0
2024-07-09,2919.57,2963.78,2904.04,2959.37,1.26%,315062016.0
2024-07-10,2949.03,2958.86,2935.33,2939.36,-0.68%,301549472.0
2024-07-11,2957.25,2971.36,2947.4,2970.39,1.06%,328372416.0
2024-07-12,2965.61,2977.14,2963.3,2971.29,0.03%,303713024.0
2024-07-15,2963.85,2977.31,2959.13,2974.01,0.09%,268992608.0
2024-07-16,2963.9,2977.36,2959.67,2976.3,0.08%,260783632.0
2024-07-17,2970.81,2972.79,2957.95,2962.85,-0.45%,282308000.0
2024-07-18,2951.14,2978.09,2937.9,2977.13,0.48%,278022656.0
2024-07-19,2963.51,2986.24,2955.12,2982.31,0.17%,280932416.0
2024-07-22,2978.19,2978.6,2946.56,2964.22,-0.61%,278749568.0
2024-07-23,2960.5,2960.5,2915.37,2915.37,-1.65%,296296000.0
2024-07-24,2909.15,2922.03,2894.29,2901.95,-0.46%,306118848.0
2024-07-25,2891.89,2897.77,2872.85,2886.74,-0.52%,274639488.0
2024-07-26,2886.0,2899.12,2875.4,2890.9,0.14%,278387520.0
2024-07-29,2889.47,2898.95,2878.58,2891.85,0.03%,256899728.0
2024-07-30,2885.22,2885.22,2865.15,2879.3,-0.43%,262478832.0
2024-07-31,2877.54,2940.59,2876.3,2938.75,2.06%,412723392.0
2024-08-01,2940.12,2947.88,2928.83,2932.39,-0.22%,346621120.0
2024-08-02,2913.02,2931.26,2902.72,2905.34,-0.92%,312205056.0
2024-08-05,2889.36,2919.03,2860.7,2860.7,-1.54%,355540576.0
2024-08-06,2878.65,2888.2,2845.33,2867.28,0.23%,297300800.0
2024-08-07,2864.01,2886.94,2857.72,2869.83,0.09%,263097152.0
2024-08-08,2864.76,2886.4,2850.87,2869.9,0.00%,289128640.0
2024-08-09,2879.87,2887.85,2862.19,2862.19,-0.27%,284253920.0
2024-08-12,2858.89,2869.27,2851.3,2858.2,-0.14%,244241360.0
2024-08-13,2860.41,2867.95,2845.31,2867.95,0.34%,231674592.0
2024-08-14,2866.24,2866.24,2850.4,2850.65,-0.60%,217885168.0
2024-08-15,2844.2,2889.09,2839.39,2877.36,0.94%,271900000.0
2024-08-16,2877.94,2888.68,2873.06,2879.43,0.07%,263653440.0
2024-08-19,2877.95,2905.15,2877.77,2893.67,0.49%,261687728.0
2024-08-20,2895.55,2896.52,2855.33,2866.66,-0.93%,263658000.0
2024-08-21,2858.94,2863.89,2848.15,2856.58,-0.35%,229200032.0
2024-08-22,2856.2,2861.61,2845.5,2848.77,-0.27%,245399408.0
2024-08-23,2844.77,2860.73,2839.34,2854.37,0.20%,226692560.0
2024-08-26,2855.47,2860.65,2844.38,2855.52,0.04%,227351536.0
2024-08-27,2850.88,2853.78,2843.16,2848.73,-0.24%,230693008.0
2024-08-28,2844.33,2852.56,2830.96,2837.43,-0.40%,228730608.0
2024-08-29,2829.45,2831.43,2815.38,2823.11,-0.50%,277510528.0
2024-08-30,2819.65,2867.96,2817.01,2842.21,0.68%,397516960.0
2024-09-02,2832.35,2839.28,2810.37,2811.03,-1.10%,340714176.0
